pid,year,month,day,weight,quantity,value
P001,2022,12,20,29479,3860,638657
P001,2022,12,30,25135,3010,871945
P002,2017,1,10,106863,0,4424046
P002,2017,1,20,179992,0,5902138
P002,2017,1,30,65215,0,3188676
P002,2017,2,10,107554,0,5809299
P002,2017,2,20,70965,0,3888992
P002,2017,2,30,53123,0,4246711
P002,2017,3,10,176064,0,6971097
P002,2017,3,20,125713,0,4717472
P002,2017,3,30,125721,0,7951411
P002,2017,4,10,84367,0,4329556
P002,2017,4,20,184873,0,6709115
P002,2017,4,30,111486,0,4401961
P002,2017,5,10,131123,0,4707602
P002,2017,5,20,89626,0,5461173
P002,2017,5,30,103758,0,4769330
P002,2017,6,10,144014,0,5218567
P002,2017,6,20,137713,0,4750201
P002,2017,6,30,166586,0,6184368
P002,2017,7,10,147903,0,6270198
P002,2017,7,20,133175,0,7251943
P002,2017,7,30,93283,0,4314729
P002,2017,8,10,167155,0,6257962
P002,2017,8,20,79881,0,4030175
P002,2017,8,30,131126,0,5920142
P002,2017,9,10,108230,0,4003539
P002,2017,9,20,158139,0,5806781
P002,2017,9,30,94146,0,4994064
P002,2017,10,10,37126,0,2399864
P002,2017,10,20,122466,0,6921739
P002,2017,10,30,92788,0,5078280
P002,2017,11,10,72912,0,5246091
P002,2017,11,20,57356,0,4240339
P002,2017,11,30,115531,0,5797331
P002,2017,12,10,113928,0,3914276
P002,2017,12,20,157160,0,6142676
P002,2017,12,30,100173,0,4222659
P002,2018,1,10,76805,0,4657992
P002,2018,1,20,117996,0,5092114
P002,2018,1,30,108228,0,4914754
P002,2018,2,10,109225,0,6453385
P002,2018,2,20,73970,0,4965334
P002,2018,2,30,85453,0,4988815
P002,2018,3,10,89587,0,5158323
P002,2018,3,20,81099,0,5530865
P002,2018,3,30,72669,0,4345935
P002,2018,4,10,64543,0,4854631
P002,2018,4,20,118008,0,5858888
P002,2018,4,30,66311,0,4324828
P002,2018,5,10,87851,0,5323035
P002,2018,5,20,71476,0,4217875
P002,2018,5,30,180999,0,8684051
P002,2018,6,10,110782,0,4827116
P002,2018,6,20,130532,0,6066793
P002,2018,6,30,188323,0,7307536
P002,2018,7,10,73617,0,5431161
P002,2018,7,20,178679,0,6817756
P002,2018,7,30,108622,0,4849319
P002,2018,8,10,133964,0,5517170
P002,2018,8,20,97194,0,4829981
P002,2018,8,30,85889,0,5258293
P002,2018,9,10,91128,0,4099009
P002,2018,9,20,123885,0,6306211
P002,2018,9,30,62970,0,3150027
P002,2018,10,10,118462,0,7753725
P002,2018,10,20,118643,0,5011744
P002,2018,10,30,82554,0,5393212
P002,2018,11,10,130063,0,6205010
P002,2018,11,20,152976,0,5710548
P002,2018,11,30,84178,0,5349361
P002,2018,12,10,190710,0,7422469
P002,2018,12,20,91571,0,4918489
P002,2018,12,30,66824,0,4759084
P002,2019,1,10,144496,0,6132474
P002,2019,1,20,136241,0,5497012
P002,2019,1,30,200884,0,7632220
P002,2019,2,10,156647,0,4967438
P002,2019,2,20,154316,0,7611094
P002,2019,2,30,73473,0,5036116
P002,2019,3,10,112683,0,5823169
P002,2019,3,20,253486,0,10013120
P002,2019,3,30,116307,0,6329161
P002,2019,4,10,260059,0,9443077
P002,2019,4,20,106764,0,7331955
P002,2019,4,30,125576,0,6122078
P002,2019,5,10,194311,0,8520769
P002,2019,5,20,117297,0,4767393
P002,2019,5,30,152722,0,7980793
P002,2019,6,10,110538,0,5148007
P002,2019,6,20,203384,0,7822033
P002,2019,6,30,81518,0,4754967
P002,2019,7,10,106317,0,9438621
P002,2019,7,20,83638,0,6623917
P002,2019,7,30,195634,0,7482162
P002,2019,8,10,199089,0,7898118
P002,2019,8,20,82611,0,5529843
P002,2019,8,30,118750,0,6880929
P002,2019,9,10,101107,0,6712311
P002,2019,9,20,89602,0,6232376
P002,2019,9,30,78906,0,5881853
P002,2019,10,10,150260,0,5526060
P002,2019,10,20,86534,0,4456132
P002,2019,10,30,131326,0,7155728
P002,2019,11,10,122404,0,7200503
P002,2019,11,20,88614,0,6401312
P002,2019,11,30,126135,0,6706439
P002,2019,12,10,120046,0,6925747
P002,2019,12,20,96185,0,5773212
P002,2019,12,30,181057,0,6384665
P002,2020,1,10,117914,0,5447341
P002,2020,1,20,118186,0,5993721
P002,2020,1,30,65521,0,4329166
P002,2020,2,10,139501,0,8382281
P002,2020,2,20,144549,0,5817256
P002,2020,2,30,50193,0,4172644
P002,2020,3,10,201981,0,9378295
